,Express,Normal (Academic),Normal (Technical),school,Integrated Programme.affliated,Integrated Programme.non-affliated,Express.affliated,Express.non-affliated,Normal (Academic).affliated,Normal (Academic).non-affliated,Normal (Technical).affliated,Normal (Technical).non-affliated
107,204 - 242,165 - 199,131 - 159,woodgrove-secondary-school,,,,,,,,
108,188 - 236,155 - 198,120 - 159,woodlands-secondary-school,,,,,,,,
109,234 - 254,182 - 199,137 - 158,xinmin-secondary-school,,,,,,,,
110,207 - 237,169 - 198,118 - 157,yishun-secondary-school,,,,,,,,
111,239 - 255,186 - 199,148 - 159,yishun-town-secondary-school,,,,,,,,
112,218 - 233,166 - 198,118 - 154,yuan-ching-secondary-school,,,,,,,,
113,188 - 229,153 - 181,116 - 157,yuhua-secondary-school,,,,,,,,
114,188 - 230,152 - 193,123 - 156,yuying-secondary-school,,,,,,,,
115,210 - 237,169 - 198,129 - 158,zhenghua-secondary-school,,,,,,,,
116,236 - 264,181 - 199,134 - 159,zhonghua-secondary-school,,,,,,,,
